nom fichier gif;diamètre du puit (µm);diamètre de la buse (µm);shift buse en x (µm);Viscosité de l'encre (Pa.s);CA wall right;CA gold
gif_a1.gif;800;200;0;1,5;90;35
gif_a2.gif;800;200;-75;1,5;90;35
gif_a3.gif;800;200;-150;1,5;90;35
gif_a4.gif;800;250;0;1,5;90;35
gif_a5.gif;800;250;-75;1,5;90;35
gif_a6.gif;800;250;-150;1,5;90;35
gif_a7.gif;800;300;0;1,5;90;35
gif_a8.gif;800;300;-75;1,5;90;35
gif_a9.gif;800;300;-150;1,5;90;35
gif_a10.gif;1000;200;0;1,5;90;35
gif_a11.gif;1000;200;-75;1,5;90;35
gif_a12.gif;1000;200;-150;1,5;90;35
gif_a13.gif;1000;250;0;1,5;90;35
gif_a14.gif;1000;250;-75;1,5;90;35
gif_a15.gif;1000;250;-150;1,5;90;35
gif_a16.gif;1000;300;0;1,5;90;35
gif_a17.gif;1000;300;-75;1,5;90;35
gif_a18.gif;1000;300;-150;1,5;90;35
gif_a19.gif;1500;200;0;1,5;90;35
gif_a20.gif;1500;200;-75;1,5;90;35
gif_a21.gif;1500;200;-150;1,5;90;35
gif_a22.gif;1500;250;0;1,5;90;35
gif_a23.gif;1500;250;-75;1,5;90;35
gif_a24.gif;1500;250;-150;1,5;90;35
gif_a25.gif;1500;300;0;1,5;90;35
gif_a26.gif;1500;300;-75;1,5;90;35
gif_a27.gif;1500;300;-150;1,5;90;35
gif_b1.gif;800;200;0;5;90;35
gif_b2.gif;800;200;-75;5;90;35
gif_b3.gif;800;200;-150;5;90;35
gif_b4.gif;800;250;0;5;90;35
gif_b5.gif;800;250;-75;5;90;35
gif_b6.gif;800;250;-150;5;90;35
gif_b7.gif;800;300;0;5;90;35
gif_b8.gif;800;300;-75;5;90;35
gif_b9.gif;800;300;-150;5;90;35
gif_b10.gif;1000;200;0;5;90;35
gif_b11.gif;1000;200;-75;5;90;35
gif_b12.gif;1000;200;-150;5;90;35
gif_b13.gif;1000;250;0;5;90;35
gif_b14.gif;1000;250;-75;5;90;35
gif_b15.gif;1000;250;-150;5;90;35
gif_b16.gif;1000;300;0;5;90;35
gif_b17.gif;1000;300;-75;5;90;35
gif_b18.gif;1000;300;-150;5;90;35
gif_b19.gif;1500;200;0;5;90;35
gif_b20.gif;1500;200;-75;5;90;35
gif_b21.gif;1500;200;-150;5;90;35
gif_b22.gif;1500;250;0;5;90;35
gif_b23.gif;1500;250;-75;5;90;35
gif_b24.gif;1500;250;-150;5;90;35
gif_b25.gif;1500;300;0;5;90;35
gif_b26.gif;1500;300;-75;5;90;35
gif_b27.gif;1500;300;-150;5;90;35
gif_c1.gif;800;200;0;5;35;35
gif_c2.gif;800;200;-75;5;35;35
gif_c3.gif;800;200;-150;5;35;35
gif_c4.gif;800;250;0;5;35;35
gif_c5.gif;800;250;-75;5;35;35
gif_c6.gif;800;250;-150;5;35;35
gif_c7.gif;800;300;0;5;35;35
gif_c8.gif;800;300;-75;5;35;35
gif_c9.gif;800;300;-150;5;35;35
gif_c10.gif;1000;200;0;5;35;35
gif_c11.gif;1000;200;-75;5;35;35
gif_c12.gif;1000;200;-150;5;35;35
gif_c13.gif;1000;250;0;5;35;35
gif_c14.gif;1000;250;-75;5;35;35
gif_c15.gif;1000;250;-150;5;35;35
gif_c16.gif;1000;300;0;5;35;35
gif_c17.gif;1000;300;-75;5;35;35
gif_c18.gif;1000;300;-150;5;35;35
gif_c19.gif;1500;200;0;5;35;35
gif_c20.gif;1500;200;-75;5;35;35
gif_c21.gif;1500;200;-150;5;35;35
gif_c22.gif;1500;250;0;5;35;35
gif_c23.gif;1500;250;-75;5;35;35
gif_c24.gif;1500;250;-150;5;35;35
gif_c25.gif;1500;300;0;5;35;35
gif_c26.gif;1500;300;-75;5;35;35
gif_c27.gif;1500;300;-150;5;35;35
gif_d1.gif;800;200;0;5;90;75
gif_d2.gif;800;200;-75;5;90;75
gif_d3.gif;800;200;-150;5;90;75
gif_d4.gif;800;250;0;5;90;75
gif_d5.gif;800;250;-75;5;90;75
gif_d6.gif;800;250;-150;5;90;75
gif_d7.gif;800;300;0;5;90;75
gif_d8.gif;800;300;-75;5;90;75
gif_d9.gif;800;300;-150;5;90;75
gif_d10.gif;1000;200;0;5;90;75
gif_d11.gif;1000;200;-75;5;90;75
gif_d12.gif;1000;200;-150;5;90;75
gif_d13.gif;1000;250;0;5;90;75
gif_d14.gif;1000;250;-75;5;90;75
gif_d15.gif;1000;250;-150;5;90;75
gif_d16.gif;1000;300;0;5;90;75
gif_d17.gif;1000;300;-75;5;90;75
gif_d18.gif;1000;300;-150;5;90;75
gif_d19.gif;1500;200;0;5;90;75
gif_d20.gif;1500;200;-75;5;90;75
gif_d21.gif;1500;200;-150;5;90;75
gif_d22.gif;1500;250;0;5;90;75
gif_d23.gif;1500;250;-75;5;90;75
gif_d24.gif;1500;250;-150;5;90;75
gif_d25.gif;1500;300;0;5;90;75
gif_d26.gif;1500;300;-75;5;90;75
gif_d27.gif;1500;300;-150;5;90;75
